,ENGLISH,GERMAN
1024,no kidding,ernsthaft
1025,no kidding,im ernst
1026,no problem,kein problem
1027,no problem,kein problem
1028,no problem,ohne probleme
1029,oh really,ach wirklich
1030,pick it up,hebe es auf
1031,pull me up,zieh mich hoch
1032,pull me up,ziehen sie mich hoch
1033,quiet down,beruhige dich
1034,quiet down,sei leise
1035,quiet down,beruhigt euch
1036,quiet down,seid leise
1037,quiet down,beruhigen sie sich
1038,quiet down,seien sie leise
1039,run for it,beeile dich
1040,say cheese,bitte lacheln
1041,say cheese,bitte recht freundlich
1042,say please,sag bitte
1043,say please,sagen sie bitte
1044,she is old,sie ist alt
1045,she smiled,sie lachelte
1046,she smiled,sie hat gelachelt
1047,shes busy,sie ist beschaftigt
1048,sing along,sing mit
1049,smell this,riech mal
1050,start here,beginne hier
1051,start here,beginnen sie hier
1052,start here,fang hier an
1053,start here,fangen sie hier an
1054,start over,fang noch mal von vorne an
1055,start over,fangen sie noch mal von vorne an
1056,stay sharp,bleibt wachsam
1057,step aside,geh zur seite
1058,step aside,gehen sie zur seite
1059,step on it,beeil dich
1060,step on it,gib gas
1061,take a bus,nimm einen bus
1062,take a bus,nehmt einen bus
1063,take a bus,nehmen sie einen bus
1064,take a bus,fahre mit dem bus
1065,take cover,geh in deckung
1066,take cover,gehen sie in deckung
1067,take cover,geht in deckung
1068,take these,nimm das hier
1069,take these,nehmt das hier
1070,take these,nehmen sie das hier
1071,talk to me,sprich mit mir
1072,talk to me,rede mit mir
1073,taste this,schmecken sie das
1074,taste this,schmeck das
1075,that a boy,guter junge
1076,that hurts,das tut weh
1077,thats tom,das ist tom
1078,thats all,das ist alles
1079,thats his,das gehort ihm
1080,thats new,es ist neu
1081,thats sad,das ist betrublich
1082,thats sad,das ist traurig
1083,they agree,sie sind einverstanden
1084,they agree,sie stimmen zu
1085,they cheat,sie mogeln
1086,they cheat,sie schummeln
1087,they cheat,sie betrugen
1088,they stood,sie standen
1089,they tried,sie versuchten es
1090,this is it,das ist es
1091,this is me,das bin ich
1092,time is up,die zeit ist um
1093,tom agreed,tom stimmte zu
1094,tom agreed,tom war einverstanden
1095,tom agrees,tom ist einverstanden
1096,tom bit me,tom hat mich gebissen
1097,tom burped,tom rulpste
1098,tom burped,tom stie auf
1099,tom called,tom hat angerufen
1100,tom cheats,tom betrugt
1101,tom cheats,tom schummelt
1102,tom cheats,tom mogelt
1103,tom danced,tom tanzte
1104,tom did it,tom hat es geschafft
1105,tom did it,tom hat das getan
1106,tom drives,tom fahrt
1107,tom drives,tom fahrt auto
1108,tom failed,tom versagte
1109,tom failed,tom hat versagt
1110,tom forgot,tom verga
1111,tom forgot,tom verga es
1112,tom fought,tom kampfte
1113,tom gasped,tom schnappte nach luft
1114,tom gasped,tom japste
1115,tom goofed,tom hat einen dummen fehler gemacht
1116,tom got up,tom stand auf
1117,tom helped,tom half
1118,tom helped,tom hat geholfen
1119,tom hit me,tom hat mich gehauen
1120,tom is big,tom ist gro
1121,tom is fun,tom ist lustig
1122,tom is ill,tom ist krank
1123,tom is mad,tom ist wutend
1124,tom is new,tom ist neu
1125,tom is odd,tom ist komisch
1126,tom is old,tom ist alt
1127,tom is sad,tom ist traurig
1128,tom is shy,tom ist schuchtern
1129,tom is wet,tom ist nass
1130,tom jumped,tom ist gesprungen
1131,tom looked,tom schaute
1132,tom moaned,tom achzte
1133,tom moaned,tom stohnte
1134,tom nodded,tom nickte
1135,tom obeyed,tom gehorchte
1136,tom obeyed,tom fugte sich
1137,tom obeyed,tom hat sich gefugt
1138,tom obeyed,tom hat gehorcht
1139,tom paused,tom hielt inne
1140,tom phoned,tom telefonierte
1141,tom phoned,tom hat telefoniert
1142,tom prayed,tom betete
1143,tom prayed,tom hat gebetet
1144,tom saw it,tom sah es
1145,tom saw it,tom hat es gesehen
1146,tom saw me,tom sah mich
1147,tom saw us,tom sah uns
1148,tom shaved,tom rasierte sich
1149,tom shaved,tom hat sich rasiert
1150,tom sighed,tom seufzte
1151,tom smiled,tom lachelte
1152,tom snores,tom schnarcht
1153,tom stayed,tom blieb
1154,tom stayed,tom ist geblieben
1155,tom talked,tom hat gesprochen
1156,tom talked,tom sprach
1157,tom waited,tom wartete
1158,tom walked,tom lief
1159,tom walked,tom ging zu fu
1160,tom winked,tom zwinkerte
1161,tom worked,tom hat gearbeitet
1162,tom worked,tom arbeitete
1163,tom yawned,tom gahnte
1164,tom yelled,tom schrie
1165,tom yelled,tom hat geschrien
1166,tomll cry,tom wird heulen
1167,tomll die,tom wird sterben
1168,tomll pay,tom wird bezahlen
1169,toms busy,tom ist beschaftigt
1170,toms gone,tom ist weg
1171,toms here,tom ist hier
1172,toms hurt,tom ist verletzt
1173,toms left,tom ist gegangen
1174,toms mean,tom ist gemein
1175,toms safe,tom ist in sicherheit
1176,toms sick,tom ist krank
1177,toms ugly,tom ist hasslich
1178,toms weak,tom ist schwach
1179,tough luck,pech gehabt
1180,try harder,streng dich mehr an
1181,try harder,strengt euch mehr an
1182,try harder,strengen sie sich mehr an
1183,turn it up,mach es lauter
1184,turn right,rechts abbiegen
1185,wait a sec,warte mal kurz
1186,wait a sec,moment mal
1187,wait a sec,augenblick mal
1188,was it fun,hat es spa gemacht
1189,we all die,wir alle sterben
1190,we are men,wir sind manner
1191,we buy cds,wir kaufen eine cd
1192,we can pay,wir konnen bezahlen
1193,we can win,wir konnen gewinnen
1194,we can win,wir konnen siegen
1195,we had fun,wir hatten unseren spa
1196,well cook,wir werden kochen
1197,well obey,wir werden gehorchen
1198,well sing,wir werden singen
1199,well wait,wir werden warten
1200,well walk,wir werden zu fu gehen
1201,well walk,wir werden laufen
1202,well work,wir werden arbeiten
1203,were back,wir sind zuruck
1204,were back,wir sind wieder da
1205,were busy,wir sind beschaftigt
1206,were cold,uns ist kalt
1207,were even,wir sind quitt
1208,were fine,uns geht es gut
1209,were home,wir sind zu hause
1210,were late,wir sind spat dran
1211,were late,wir sind zu spat
1212,were lazy,wir sind faul
1213,were rich,wir sind reich
1214,were weak,wir sind schwach
1215,what gives,was ist los
1216,what gives,was gibts neues
1217,what is it,was ist das fur ein ding
1218,what is it,was gibt es
1219,whats new,was gibt es neues
1220,where am i,wo bin ich
1221,who did it,wer hat es getan
1222,who did it,wer hat es gemacht
1223,who did it,wer tat das
1224,who is she,wer ist sie
1225,who phoned,wer hat telefoniert
1226,who phoned,wer telefonierte
1227,who stayed,wer blieb
1228,who stayed,wer ist geblieben
1229,who talked,wer hat gesprochen
1230,who talked,wer sprach
1231,who was it,wer wars
1232,who yelled,wer hat geschrien
1233,who yelled,wer schrie
1234,whos here,wer ist hier
1235,whos next,wer ist als nachstes dran
1236,whos that,wer ist das
1237,wood burns,holz brennt
1238,you decide,du bestimmst
1239,you decide,sie entscheiden
1240,you may go,sie durfen gehen
1241,you may go,du kannst gehen
1242,you may go,sie konnen gehen
1243,you may go,ihr konnt gehen
1244,you missed,du hast nicht getroffen
1245,you missed,sie haben nicht getroffen
1246,you owe me,du schuldest mir was
1247,youre old,du bist alt
1248,youre old,sie sind alt
1249,youve won,du hast gewonnen
1250,youve won,ihr habt gewonnen
1251,youve won,sie haben gewonnen
1252,all is well,alles ist gut
1253,anyone home,jemand zuhause
1254,are we done,sind wir fertig
1255,are we done,sind wir dann durch
1256,are we done,war es das
1257,are we lost,haben wir uns verlaufen
1258,are you tom,bist du tom
1259,are you tom,sind sie tom
1260,are you fat,bist du dick
1261,are you fit,bist du in form
1262,are you mad,bist du sauer
1263,are you mad,sind sie wutend
1264,are you mad,bist du verruckt
1265,are you new,bist du neu
1266,are you shy,bist du schuchtern
1267,as you like,wie du willst
1268,be creative,sei kreativ
1269,be creative,seid kreativ
1270,be creative,seien sie kreativ
1271,be discreet,seid diskret
1272,be discreet,seien sie diskret
1273,be sensible,sei vernunftig
1274,be sensible,seien sie vernunftig
1275,be tolerant,sei tolerant
1276,be yourself,sei du selbst
1277,beers good,bier ist gut
1278,can it wait,kann das noch warten
1279,can we come,konnen wir kommen
1280,can we help,konnen wir helfen
1281,can we talk,konnen wir reden
1282,come aboard,komm an bord
1283,come aboard,kommt an bord
1284,come aboard,kommen sie an bord
1285,come closer,komm naher
1286,come closer,kommen sie naher
1287,come closer,kommt naher
1288,come off it,hor auf damit
1289,come off it,nun mach aber mal einen punkt
1290,comfort tom,troste tom
1291,comfort tom,trostet tom
1292,comfort tom,trosten sie tom
1293,contact tom,setz dich mit tom in verbindung
1294,contact tom,setzen sie sich mit tom in verbindung
1295,contact tom,setzt euch mit tom in verbindung
1296,cook for me,koche fur mich
1297,cook for me,koch fur mich
1298,count me in,zahl mich dazu
1299,count me in,ich bin dabei
1300,count me in,ich mache mit
1301,count on it,verlass dich drauf
1302,did tom cry,hat tom geweint
1303,did tom die,ist tom gestorben
1304,did tom eat,hat tom gegessen
1305,did tom try,hat tom es versucht
1306,did it work,hat es funktioniert
1307,do as i say,tu was ich sage
1308,do it again,mach es noch einmal
1309,do it again,mach es nochmal
1310,do you fish,fischen sie
1311,dont laugh,nicht lachen
1312,dont laugh,lach nicht
1313,dont laugh,lachen sie nicht
1314,dont leave,gehe nicht weg
1315,dont panic,nicht in panik ausbrechen
1316,dont panic,keine panik
1317,dont shoot,nicht schieen
1318,dont shoot,nicht schieen
1319,dont smile,lach nicht
1320,dont worry,keine sorge
1321,finish this,schlieen sie das ab
1322,finish this,mach das fertig
1323,forgive tom,vergib tom
1324,forgive tom,vergeben sie tom
1325,forgive tom,vergebt tom
1326,get serious,sei mal ernst
1327,get started,leg los
1328,get started,fang an
1329,get started,legen sie los
1330,get started,fangen sie an
1331,get started,fangt an
1332,get started,legt los
1333,get to work,an die arbeit
1334,go find tom,gehe tom suchen
1335,go find tom,gehe hin und suche tom
1336,go for help,hol hilfe
1337,go home now,geh jetzt nach hause
1338,go home now,geh sofort nach hause
1339,go that way,gehe dort entlang
1340,go that way,gehen sie da lang
1341,go to sleep,geh schlafen
1342,go to sleep,geh schlafen
1343,go to sleep,gehe schlafen
1344,go to sleep,gehen sie schlafen
1345,has he come,ist er gekommen
1346,have a seat,setz dich
1347,have we met,kennen wir uns
1348,he can come,er kann kommen
1349,he can read,er kann lesen
1350,he can swim,er kann schwimmen
1351,he found it,er hat es gefunden
1352,he got away,er ist davongekommen
1353,he has come,er ist gekommen
1354,he has guts,er hat mumm
1355,he helps us,er hilft uns
1356,he is alone,er ist alleine
1357,he is eight,er ist acht
1358,he is happy,er ist glucklich
1359,he is hated,er wird gehasst
1360,he is hated,er ist verhasst
1361,he is lying,er lugt
1362,he is smart,er ist klug
1363,he is smart,er ist elegant
1364,he loves us,er liebt uns
1365,he needs it,er braucht es
1366,he relented,er gab nach
1367,he relented,er lenkte ein
1368,he stood up,er stand auf
1369,he was busy,er war beschaftigt
1370,hes a jerk,er ist ein blodmann
1371,hes a liar,er ist ein lugner
1372,hes asleep,er schlaft
1373,hes coming,er kommt gleich
1374,hes crying,er weint
1375,hes loaded,er ist stinkreich
1376,hes my age,er hat mein alter
1377,hes not in,er ist nicht zuhause
1378,hes not in,er ist nicht zu hause
1379,hes not in,er ist nicht daheim
1380,hes not in,er ist nicht da
1381,hes strong,er ist stark
1382,hes wasted,er ist stockbetrunken
1383,hes wasted,er ist stockbesoffen
1384,hello again,nochmals hallo
1385,here she is,hier ist sie
1386,here we are,da sind wir
1387,here we are,da sind wir
1388,how are you,wie geht es dir
1389,how are you,wie geht es ihnen
1390,how are you,wie gehts dir
1391,how are you,wie gehts dir
1392,how curious,wie seltsam
1393,how curious,wie merkwurdig
1394,how is life,wie gehts wie stehts
1395,i am french,ich bin aus frankreich
1396,i am korean,ich bin koreaner
1397,i am a cook,ich bin ein koch
1398,i am a monk,ich bin ein monch
1399,i am a twin,ich bin ein zwilling
1400,i am afraid,ich habe angst
1401,i am better,ich bin besser
1402,i am coming,ich komme sofort
1403,i am dozing,ich bin am dosen
1404,i am eating,ich esse gerade
1405,i am hungry,ich bin hungrig
1406,i am hungry,ich habe hunger
1407,i am joking,ich mache spa
1408,i am online,ich bin online
1409,i am online,ich bin im netz
1410,i am single,ich bin single
1411,i am single,ich bin single
1412,i am taller,ich bin groer
1413,i asked tom,ich habe tom gefragt
1414,i asked why,ich fragte nach dem grund
1415,i assume so,das nehme ich an
1416,i bought it,ich habe es gekauft
1417,i burned it,ich habs verbrannt
1418,i can do it,ich kann es schaffen
1419,i cant eat,ich kann nichts essen
1420,i cant fly,ich kann nicht fliegen
1421,i cant say,das kann ich nicht sagen
1422,i didnt go,ich ging nicht
1423,i didnt go,ich bin nicht gegangen
1424,i dont lie,ich luge nicht
1425,i eat bread,ich esse brot
1426,i eat fruit,ich esse obst
1427,i feel blue,ich bin traurig
1428,i feel fine,es geht mir gut
1429,i feel good,es geht mir gut
1430,i feel well,es geht mir gut
1431,i felt cold,mir war kalt
1432,i felt dumb,ich kam mir wie ein blodmann vor
1433,i fired tom,ich habe tom gefeuert
1434,i forgot it,ich habe es vergessen
1435,i found tom,ich habe tom gefunden
1436,i found you,ich habe dich gefunden
1437,i found you,ich habe sie gefunden
1438,i found you,ich fand dich
1439,i got angry,ich wurde wutend
1440,i had a cat,ich habe eine katze gegessen
1441,i hate dogs,ich hasse hunde
1442,i hate sand,ich hasse sand
1443,i have,ich habe dreihundert dollar
1444,i have wine,ich habe wein
1445,i heard you,ich habe dich gehort
1446,i knew that,ich wusste das
1447,i know that,ich wei das
1448,i know them,ich kenne sie
1449,i like both,ich mag beide
1450,i like both,ich mag beides
1451,i like cake,ich mag kuchen
1452,i like cats,ich mag katzen
1453,i like dogs,ich mag hunde
1454,i like fish,ich mag fisch gern
1455,i like fish,ich esse gerne fisch
1456,i like jazz,ich mag jazzmusik
1457,i like jazz,ich mag jazz
1458,i like math,ich mag mathe
1459,i like math,ich liebe mathematik
1460,i like math,ich mag mathematik
1461,i like milk,ich mag milch
1462,i like rice,ich esse gerne reis
1463,i like snow,ich mag schnee
1464,i like that,das gefallt mir
1465,i like wine,ich mag wein
1466,i live here,ich wohne hier
1467,i live here,ich lebe hier
1468,i lost face,ich habe das gesicht verloren
1469,i love beef,ich liebe rindfleisch
1470,i love cake,ich liebe kuchen
1471,i love dogs,ich liebe hunde
1472,i love kids,ich liebe kinder
1473,i love math,ich mag mathe
1474,i love math,ich liebe mathematik
1475,i love math,ich mag mathematik
1476,i love rock,ich mag rock
1477,i love rock,ich liebe rock
1478,i love snow,ich liebe schnee
1479,i love them,ich liebe sie
1480,i loved her,ich habe sie geliebt
1481,i loved you,ich habe dich geliebt
1482,i loved you,ich liebte dich
1483,i loved you,ich habe euch geliebt
1484,i must obey,ich muss gehorchen
1485,i need help,ich brauche hilfe
1486,i need them,ich brauche sie
1487,i need them,ich benotige sie
1488,i never bet,ich wette nie
1489,i oppose it,ich bin dagegen
1490,i overslept,ich habe verschlafen
1491,i recovered,ich habe mich erholt
1492,i said stop,ich habe gesagt dass du aufhoren sollst
1493,i said stop,ich habe gesagt hor auf
1494,i said that,ich habe das gesagt
1495,i saved you,ich habe sie gerettet
1496,i saved you,ich habe euch gerettet
1497,i saved you,ich habe dich gerettet
1498,i saw a ufo,ich sah ein ufo
1499,i saw a ufo,ich habe eine fliegende untertasse gesehen
1500,i saw a dog,ich habe einen hund gesehen
1501,i smell gas,ich rieche gas
1502,i surrender,ich ergebe mich
1503,i trust him,ich vertraue ihm
1504,i trust you,ich verlasse mich auf dich
1505,i want mary,ich will maria
1506,i want cash,ich will bargeld
1507,i want cash,ich will bares
1508,i want kids,ich will kinder
1509,i want more,ich will mehr
1510,i want that,ich will das
1511,i want them,ich will sie
1512,i want this,ich will das hier
1513,i was angry,ich war wutend
1514,i was awake,ich war wach
1515,i was bored,ich langweilte mich
1516,i was bored,ich habe mich gelangweilt
1517,i was drunk,ich war besoffen
1518,i was fired,ich wurde gefeuert
1519,i was lucky,gluck gehabt
1520,i was lying,ich habe gelegen
1521,i was lying,ich habe gelogen
1522,i was moved,ich war geruhrt
1523,i was naive,ich war naiv
1524,i was naive,ich war leichtglaubig
1525,i was ready,ich war bereit
1526,i was tired,ich war mude
1527,i was upset,ich war besturzt
1528,i was wrong,ich habe mich geirrt
